Label	Weight	Text
l_ATBankLUIS	1	please transfer 50 bucks to james
l_ATBankLUIS	1	send 100 dollars to eric
l_ATBankLUIS	1	i want to send money to my friend
l_ATBankLUIS	1	how much money is left in my account
l_ATBankLUIS	1	i want to transfer some funds
l_ATBankLUIS	1	can you please tell me about the account balance
l_ATBankLUIS	1	what's the balance of my current account
l_ATBankLUIS	1	i want to make transfer
l_ATBankLUIS	1	send 20 dollars to my dad's account
l_ATBankLUIS	1	what is the current status of my balance
l_ATBankLUIS	1	what's my current balance
l_DynamicsVA	1	No, thank you. Have a nice day!
l_DynamicsVA	1	Where can I find the closest store
l_DynamicsVA	1	Can't find store locator
l_DynamicsVA	1	I have no problems. Good bye.
l_DynamicsVA	1	Hi good evening
l_DynamicsVA	1	I need to have a live chat session
l_DynamicsVA	1	I need technical support
l_DynamicsVA	1	Hello greeting
l_DynamicsVA	1	Update a user's account information
l_DynamicsVA	1	Make payment online
l_DynamicsVA	1	Have a great day. You're doing fine.
l_DynamicsVA	1	Chat with someone please
l_DynamicsVA	1	Appointments available dates
l_DynamicsVA	1	Apply credit card using social security number
l_DynamicsVA	1	I would like to speak with an associate
l_DynamicsVA	1	How far is your store
l_DynamicsVA	1	Hi can you help me
l_DynamicsVA	1	How far is the closest location
l_DynamicsVA	1	Change tomorrow appointment
l_DynamicsVA	1	Store open hours
l_DynamicsVA	1	Credit card process
l_DynamicsVA	1	thanks so much
l_DynamicsVA	1	Appointment
l_DynamicsVA	1	New Year open hours
l_DynamicsVA	1	Hello friend
l_DynamicsVA	1	Set reminder
l_DynamicsVA	1	Hey how are u
l_DynamicsVA	1	Contact customer support
l_DynamicsVA	1	When do you close tomorrow
l_DynamicsVA	1	What do I need to provide to make credit card application
l_DynamicsVA	1	Are you open during Christmas eve
l_DynamicsVA	1	Call me please
l_DynamicsVA	1	Schedule manager
l_DynamicsVA	1	Can I get a number
l_DynamicsVA	1	Thank you. Goodbye
l_DynamicsVA	1	Connect me to a live agent
l_DynamicsVA	1	Thx. Goodbye
l_DynamicsVA	1	Black Friday open hours
l_DynamicsVA	1	Store search
